262,670
64,2
307,420,-10
true
49
112,95,0,1,1
112,150,1,1,1
112,205,1,1,1
112,260,2,1,1
112,315,2,1,1
167,95,0,1,1
167,150,1,1,1
167,205,1,1,1
167,260,2,1,1
167,315,2,1,1
222,95,0,1,1
222,150,1,1,1
222,205,1,1,1
222,260,2,1,1
222,315,2,1,1
277,95,0,1,1
277,150,1,1,1
277,205,1,1,1
277,260,2,1,1
277,315,2,1,1
332,95,0,1,1
332,150,1,1,1
332,205,1,1,1
332,260,2,1,1
387,95,0,1,1
387,150,1,1,1
387,205,1,1,1
387,260,2,1,1
387,315,2,1,1
442,95,0,1,1
442,150,1,1,1
442,205,1,1,1
442,260,2,1,1
442,315,2,1,1
497,95,0,1,1
497,150,1,1,1
497,205,1,1,1
497,260,2,1,1
497,315,2,1,1
552,95,0,1,1
552,150,1,1,1
552,205,1,1,1
552,260,2,1,1
552,315,2,1,1
607,95,0,1,1
607,150,1,1,1
607,205,1,1,1
607,260,2,1,1
607,315,2,1,1
